"Notes","County","County Code","Year","Year Code",Deaths,Population,Crude Rate
,"Alpine County, CA","06003","2016","2016",0,1071,Unreliable
,"Alpine County, CA","06003","2018","2018",0,1101,Unreliable
,"Alpine County, CA","06003","2011","2011",0,1102,Unreliable
,"Alpine County, CA","06003","2015","2015",0,1110,Unreliable
,"Alpine County, CA","06003","2014","2014",0,1116,Unreliable
,"Alpine County, CA","06003","2020","2020",Suppressed,1119,Suppressed
,"Alpine County, CA","06003","2017","2017",0,1120,Unreliable
,"Alpine County, CA","06003","2012","2012",0,1129,Unreliable
,"Alpine County, CA","06003","2019","2019",Suppressed,1129,Suppressed
,"Alpine County, CA","06003","2013","2013",0,1159,Unreliable
,"Alpine County, CA","06003","2010","2010",0,1175,Unreliable
,"Sierra County, CA","06091","2020","2020",Suppressed,2920,Suppressed
,"Sierra County, CA","06091","2016","2016",0,2947,Unreliable
,"Sierra County, CA","06091","2015","2015",0,2967,Unreliable
,"Sierra County, CA","06091","2018","2018",Suppressed,2987,Suppressed
,"Sierra County, CA","06091","2017","2017",0,2999,Unreliable
,"Sierra County, CA","06091","2014","2014",Suppressed,3003,Suppressed
,"Sierra County, CA","06091","2019","2019",0,3005,Unreliable
,"Sierra County, CA","06091","2013","2013",Suppressed,3047,Suppressed
,"Sierra County, CA","06091","2012","2012",0,3086,Unreliable
,"Sierra County, CA","06091","2011","2011",Suppressed,3113,Suppressed
,"Sierra County, CA","06091","2010","2010",Suppressed,3240,Suppressed
,"Modoc County, CA","06049","2020","2020",0,8763,Unreliable
,"Modoc County, CA","06049","2018","2018",0,8777,Unreliable
,"Modoc County, CA","06049","2016","2016",Suppressed,8795,Suppressed
,"Modoc County, CA","06049","2019","2019",Suppressed,8841,Suppressed
,"Modoc County, CA","06049","2017","2017",Suppressed,8859,Suppressed
,"Modoc County, CA","06049","2015","2015",Suppressed,8965,Suppressed
,"Modoc County, CA","06049","2014","2014",Suppressed,9023,Suppressed
,"Modoc County, CA","06049","2013","2013",Suppressed,9147,Suppressed
,"Modoc County, CA","06049","2012","2012",Suppressed,9327,Suppressed
,"Modoc County, CA","06049","2011","2011",Suppressed,9517,Suppressed
,"Modoc County, CA","06049","2010","2010",Suppressed,9686,Suppressed
,"Trinity County, CA","06105","2020","2020",Suppressed,12216,Suppressed
,"Trinity County, CA","06105","2019","2019",Suppressed,12285,Suppressed
,"Trinity County, CA","06105","2018","2018",Suppressed,12535,Suppressed
,"Trinity County, CA","06105","2017","2017",Suppressed,12709,Suppressed
,"Trinity County, CA","06105","2016","2016",Suppressed,12782,Suppressed
,"Trinity County, CA","06105","2015","2015",Suppressed,13069,Suppressed
,"Trinity County, CA","06105","2014","2014",Suppressed,13170,Suppressed
,"Trinity County, CA","06105","2013","2013",Suppressed,13448,Suppressed
,"Trinity County, CA","06105","2012","2012",Suppressed,13526,Suppressed
,"Trinity County, CA","06105","2011","2011",Suppressed,13723,Suppressed
,"Trinity County, CA","06105","2010","2010",Suppressed,13786,Suppressed
,"Mono County, CA","06051","2015","2015",Suppressed,13909,Suppressed
,"Mono County, CA","06051","2016","2016",Suppressed,13981,Suppressed
,"Mono County, CA","06051","2014","2014",0,13997,Unreliable
,"Mono County, CA","06051","2013","2013",Suppressed,14074,Suppressed
,"Mono County, CA","06051","2017","2017",0,14168,Unreliable
,"Mono County, CA","06051","2010","2010",Suppressed,14202,Suppressed
,"Mono County, CA","06051","2018","2018",Suppressed,14250,Suppressed
,"Mono County, CA","06051","2011","2011",Suppressed,14309,Suppressed
,"Mono County, CA","06051","2012","2012",Suppressed,14348,Suppressed
,"Mono County, CA","06051","2019","2019",Suppressed,14444,Suppressed
,"Mono County, CA","06051","2020","2020",Suppressed,14534,Suppressed
,"Mariposa County, CA","06043","2020","2020",Suppressed,17160,Suppressed
,"Mariposa County, CA","06043","2019","2019",Suppressed,17203,Suppressed
,"Mariposa County, CA","06043","2016","2016",Suppressed,17410,Suppressed
,"Mariposa County, CA","06043","2018","2018",Suppressed,17471,Suppressed
,"Mariposa County, CA","06043","2015","2015",Suppressed,17531,Suppressed
,"Mariposa County, CA","06043","2017","2017",Suppressed,17569,Suppressed
,"Mariposa County, CA","06043","2014","2014",Suppressed,17682,Suppressed
,"Mariposa County, CA","06043","2013","2013",Suppressed,17755,Suppressed
,"Mariposa County, CA","06043","2012","2012",Suppressed,17905,Suppressed
,"Inyo County, CA","06027","2018","2018",Suppressed,17987,Suppressed
,"Inyo County, CA","06027","2017","2017",Suppressed,18026,Suppressed
,"Inyo County, CA","06027","2019","2019",Suppressed,18039,Suppressed
,"Inyo County, CA","06027","2020","2020",Suppressed,18046,Suppressed
,"Inyo County, CA","06027","2016","2016",Suppressed,18144,Suppressed
,"Mariposa County, CA","06043","2011","2011",Suppressed,18191,Suppressed
,"Mariposa County, CA","06043","2010","2010",Suppressed,18251,Suppressed
,"Inyo County, CA","06027","2015","2015",Suppressed,18260,Suppressed
,"Plumas County, CA","06063","2015","2015",Suppressed,18409,Suppressed
,"Inyo County, CA","06027","2014","2014",Suppressed,18410,Suppressed
,"Inyo County, CA","06027","2013","2013",Suppressed,18467,Suppressed
,"Inyo County, CA","06027","2011","2011",Suppressed,18478,Suppressed
,"Inyo County, CA","06027","2012","2012",Suppressed,18495,Suppressed
,"Inyo County, CA","06027","2010","2010",Suppressed,18546,Suppressed
,"Plumas County, CA","06063","2014","2014",11,18606,Unreliable
,"Plumas County, CA","06063","2016","2016",Suppressed,18627,Suppressed
,"Plumas County, CA","06063","2017","2017",Suppressed,18742,Suppressed
,"Plumas County, CA","06063","2018","2018",Suppressed,18804,Suppressed
,"Plumas County, CA","06063","2019","2019",Suppressed,18807,Suppressed
,"Plumas County, CA","06063","2013","2013",Suppressed,18859,Suppressed
,"Plumas County, CA","06063","2020","2020",Suppressed,18967,Suppressed
,"Plumas County, CA","06063","2012","2012",Suppressed,19399,Suppressed
,"Plumas County, CA","06063","2011","2011",Suppressed,19765,Suppressed
,"Plumas County, CA","06063","2010","2010",Suppressed,20007,Suppressed
,"Colusa County, CA","06011","2013","2013",Suppressed,21358,Suppressed
,"Colusa County, CA","06011","2012","2012",Suppressed,21411,Suppressed
,"Colusa County, CA","06011","2010","2010",0,21419,Unreliable
,"Colusa County, CA","06011","2014","2014",0,21419,Unreliable
,"Colusa County, CA","06011","2015","2015",Suppressed,21482,Suppressed
,"Colusa County, CA","06011","2019","2019",Suppressed,21547,Suppressed
,"Colusa County, CA","06011","2011","2011",Suppressed,21549,Suppressed
,"Colusa County, CA","06011","2020","2020",Suppressed,21558,Suppressed
,"Colusa County, CA","06011","2016","2016",Suppressed,21588,Suppressed
,"Colusa County, CA","06011","2018","2018",0,21627,Unreliable
,"Colusa County, CA","06011","2017","2017",Suppressed,21805,Suppressed
,"Del Norte County, CA","06015","2014","2014",Suppressed,27212,Suppressed
,"Del Norte County, CA","06015","2015","2015",Suppressed,27254,Suppressed
,"Del Norte County, CA","06015","2017","2017",Suppressed,27470,Suppressed
,"Del Norte County, CA","06015","2016","2016",Suppressed,27540,Suppressed
,"Del Norte County, CA","06015","2019","2019",Suppressed,27812,Suppressed
,"Del Norte County, CA","06015","2018","2018",Suppressed,27828,Suppressed
,"Del Norte County, CA","06015","2013","2013",Suppressed,27873,Suppressed
,"Glenn County, CA","06021","2013","2013",Suppressed,27940,Suppressed
,"Glenn County, CA","06021","2014","2014",Suppressed,27955,Suppressed
,"Del Norte County, CA","06015","2020","2020",Suppressed,27968,Suppressed
,"Glenn County, CA","06021","2012","2012",Suppressed,27992,Suppressed
,"Glenn County, CA","06021","2015","2015",Suppressed,28017,Suppressed
,"Glenn County, CA","06021","2018","2018",Suppressed,28047,Suppressed
,"Glenn County, CA","06021","2016","2016",Suppressed,28085,Suppressed
,"Glenn County, CA","06021","2017","2017",Suppressed,28094,Suppressed
,"Glenn County, CA","06021","2010","2010",Suppressed,28122,Suppressed
,"Glenn County, CA","06021","2011","2011",Suppressed,28128,Suppressed
,"Glenn County, CA","06021","2020","2020",12,28283,Unreliable
,"Del Norte County, CA","06015","2012","2012",Suppressed,28290,Suppressed
,"Glenn County, CA","06021","2019","2019",Suppressed,28393,Suppressed
,"Del Norte County, CA","06015","2010","2010",Suppressed,28610,Suppressed
,"Del Norte County, CA","06015","2011","2011",Suppressed,28659,Suppressed
,"Lassen County, CA","06035","2020","2020",Suppressed,30016,Suppressed
,"Lassen County, CA","06035","2019","2019",12,30573,Unreliable
,"Lassen County, CA","06035","2018","2018",Suppressed,30802,Suppressed
,"Lassen County, CA","06035","2016","2016",12,30870,Unreliable
,"Lassen County, CA","06035","2017","2017",Suppressed,31163,Suppressed
,"Lassen County, CA","06035","2015","2015",Suppressed,31345,Suppressed
,"Lassen County, CA","06035","2014","2014",13,31749,Unreliable
,"Lassen County, CA","06035","2013","2013",11,32163,Unreliable
,"Lassen County, CA","06035","2012","2012",Suppressed,33658,Suppressed
,"Lassen County, CA","06035","2011","2011",13,34200,Unreliable
,"Lassen County, CA","06035","2010","2010",12,34895,Unreliable
,"Amador County, CA","06005","2013","2013",Suppressed,36519,Suppressed
,"Amador County, CA","06005","2014","2014",13,36742,Unreliable
,"Amador County, CA","06005","2015","2015",Suppressed,37001,Suppressed
,"Amador County, CA","06005","2012","2012",10,37035,Unreliable
,"Amador County, CA","06005","2016","2016",Suppressed,37383,Suppressed
,"Amador County, CA","06005","2011","2011",10,37953,Unreliable
,"Amador County, CA","06005","2010","2010",11,38091,Unreliable
,"Amador County, CA","06005","2017","2017",Suppressed,38626,Suppressed
,"Amador County, CA","06005","2018","2018",Suppressed,39383,Suppressed
,"Amador County, CA","06005","2019","2019",13,39752,Unreliable
,"Amador County, CA","06005","2020","2020",Suppressed,40083,Suppressed
,"Siskiyou County, CA","06093","2020","2020",10,43245,Unreliable
,"Siskiyou County, CA","06093","2019","2019",Suppressed,43539,Suppressed
,"Siskiyou County, CA","06093","2015","2015",14,43554,Unreliable
,"Siskiyou County, CA","06093","2016","2016",16,43603,Unreliable
,"Siskiyou County, CA","06093","2014","2014",Suppressed,43628,Suppressed
,"Siskiyou County, CA","06093","2018","2018",Suppressed,43724,Suppressed
,"Siskiyou County, CA","06093","2013","2013",Suppressed,43799,Suppressed
,"Siskiyou County, CA","06093","2017","2017",Suppressed,43853,Suppressed
,"Siskiyou County, CA","06093","2012","2012",Suppressed,44154,Suppressed
,"Siskiyou County, CA","06093","2011","2011",12,44507,Unreliable
,"Calaveras County, CA","06009","2013","2013",11,44515,Unreliable
,"Calaveras County, CA","06009","2014","2014",Suppressed,44624,Suppressed
,"Calaveras County, CA","06009","2012","2012",Suppressed,44742,Suppressed
,"Calaveras County, CA","06009","2015","2015",10,44828,Unreliable
,"Siskiyou County, CA","06093","2010","2010",13,44900,Unreliable
,"Calaveras County, CA","06009","2011","2011",15,45052,Unreliable
,"Calaveras County, CA","06009","2016","2016",Suppressed,45171,Suppressed
,"Calaveras County, CA","06009","2010","2010",12,45578,Unreliable
,"Calaveras County, CA","06009","2018","2018",Suppressed,45602,Suppressed
,"Calaveras County, CA","06009","2017","2017",Suppressed,45670,Suppressed
,"Calaveras County, CA","06009","2019","2019",12,45905,Unreliable
,"Calaveras County, CA","06009","2020","2020",Suppressed,46308,Suppressed
,"Tuolumne County, CA","06109","2015","2015",22,53709,40.961
,"Tuolumne County, CA","06109","2016","2016",15,53804,Unreliable
,"Tuolumne County, CA","06109","2014","2014",19,53831,Unreliable
,"Tuolumne County, CA","06109","2013","2013",12,53874,Unreliable
,"Tuolumne County, CA","06109","2012","2012",12,54008,Unreliable
,"Tuolumne County, CA","06109","2017","2017",13,54248,Unreliable
,"Tuolumne County, CA","06109","2019","2019",12,54478,Unreliable
,"Tuolumne County, CA","06109","2020","2020",10,54515,Unreliable
,"Tuolumne County, CA","06109","2018","2018",Suppressed,54539,Suppressed
,"Tuolumne County, CA","06109","2011","2011",14,54953,Unreliable
,"San Benito County, CA","06069","2010","2010",Suppressed,55269,Suppressed
,"Tuolumne County, CA","06109","2010","2010",18,55365,Unreliable
,"San Benito County, CA","06069","2011","2011",Suppressed,56072,Suppressed
,"San Benito County, CA","06069","2012","2012",Suppressed,56884,Suppressed
,"San Benito County, CA","06069","2013","2013",Suppressed,57600,Suppressed
,"San Benito County, CA","06069","2014","2014",Suppressed,58267,Suppressed
,"San Benito County, CA","06069","2015","2015",Suppressed,58792,Suppressed
,"San Benito County, CA","06069","2016","2016",Suppressed,59414,Suppressed
,"San Benito County, CA","06069","2017","2017",Suppressed,60310,Suppressed
,"San Benito County, CA","06069","2018","2018",Suppressed,61537,Suppressed
,"San Benito County, CA","06069","2019","2019",Suppressed,62808,Suppressed
,"Tehama County, CA","06103","2013","2013",Suppressed,63057,Suppressed
,"Tehama County, CA","06103","2014","2014",Suppressed,63067,Suppressed
,"Tehama County, CA","06103","2016","2016",Suppressed,63276,Suppressed
,"Tehama County, CA","06103","2015","2015",Suppressed,63308,Suppressed
,"Tehama County, CA","06103","2012","2012",12,63406,Unreliable
,"Tehama County, CA","06103","2010","2010",Suppressed,63463,Suppressed
,"Tehama County, CA","06103","2011","2011",13,63601,Unreliable
,"Lake County, CA","06033","2013","2013",29,63860,45.412
,"Tehama County, CA","06103","2018","2018",Suppressed,63916,Suppressed
,"Tehama County, CA","06103","2017","2017",Suppressed,63926,Suppressed
,"Lake County, CA","06033","2012","2012",23,63983,35.947
,"San Benito County, CA","06069","2020","2020",10,64055,Unreliable
,"Lake County, CA","06033","2016","2016",18,64116,Unreliable
,"Lake County, CA","06033","2014","2014",35,64184,54.531
,"Lake County, CA","06033","2017","2017",28,64246,43.582
,"Lake County, CA","06033","2011","2011",34,64323,52.858
,"Lake County, CA","06033","2018","2018",44,64382,68.342
,"Lake County, CA","06033","2019","2019",47,64386,72.997
,"Lake County, CA","06033","2020","2020",46,64479,71.341
,"Tehama County, CA","06103","2020","2020",Suppressed,64494,Suppressed
,"Lake County, CA","06033","2015","2015",32,64591,49.543
,"Lake County, CA","06033","2010","2010",36,64665,55.672
,"Tehama County, CA","06103","2019","2019",Suppressed,65084,Suppressed
,"Yuba County, CA","06115","2010","2010",Suppressed,72155,Suppressed
,"Yuba County, CA","06115","2011","2011",Suppressed,72578,Suppressed
,"Yuba County, CA","06115","2012","2012",Suppressed,72926,Suppressed
,"Yuba County, CA","06115","2013","2013",Suppressed,73340,Suppressed
,"Yuba County, CA","06115","2014","2014",Suppressed,73966,Suppressed
,"Yuba County, CA","06115","2015","2015",12,74492,Unreliable
,"Yuba County, CA","06115","2016","2016",16,75275,Unreliable
,"Yuba County, CA","06115","2017","2017",16,77031,Unreliable
,"Yuba County, CA","06115","2018","2018",14,78041,Unreliable
,"Yuba County, CA","06115","2019","2019",12,78668,Unreliable
,"Yuba County, CA","06115","2020","2020",17,80160,Unreliable
,"Mendocino County, CA","06045","2020","2020",41,86061,47.641
,"Mendocino County, CA","06045","2019","2019",42,86749,48.416
,"Mendocino County, CA","06045","2013","2013",22,87192,25.232
